dt,symbol,open,high,low,close,volume,vwap,is_trading_day
2024-01-02,2317.tw,104.5,105.0,104.0,105.0,19921105,104.666667,1
2024-01-03,2317.tw,104.5,105.0,104.0,104.5,18957682,104.5,1
2024-01-04,2317.tw,104.5,105.0,104.0,104.0,15488559,104.333333,1
2024-01-05,2317.tw,104.0,104.5,104.0,104.0,13349572,104.166667,1
2024-01-08,2317.tw,103.5,104.0,101.5,101.5,34642006,102.333333,1
2024-01-09,2317.tw,102.0,102.5,101.0,101.0,25228043,101.5,1
2024-01-10,2317.tw,101.0,101.5,100.0,100.0,22800432,100.5,1
2024-01-11,2317.tw,100.0,102.0,99.7,100.5,34453180,100.733332,1
2024-01-12,2317.tw,100.0,101.5,100.0,100.5,29241441,100.666667,1
2024-01-15,2317.tw,101.0,101.5,100.0,100.0,22480585,100.5,1
2024-01-16,2317.tw,99.8,100.5,99.3,100.0,25892269,99.933334,1
2024-01-17,2317.tw,99.8,100.0,98.5,98.6,47592663,99.033333,1
2024-01-18,2317.tw,99.0,100.0,98.9,99.9,18106511,99.600001,1
2024-01-19,2317.tw,100.0,101.0,100.0,100.5,16417094,100.5,1
2024-01-22,2317.tw,100.5,101.0,99.9,99.9,22982811,100.266668,1
2024-01-23,2317.tw,100.0,101.5,99.9,101.0,18993909,100.800001,1
2024-01-24,2317.tw,101.0,101.5,100.5,100.5,13198166,100.833333,1
2024-01-25,2317.tw,101.0,102.0,100.5,102.0,24228872,101.5,1
2024-01-26,2317.tw,102.0,103.5,102.0,102.5,25615989,102.666667,1
2024-01-29,2317.tw,102.5,103.0,102.0,102.5,16386992,102.5,1
2024-01-30,2317.tw,102.5,103.0,102.0,102.0,17551728,102.333333,1
2024-01-31,2317.tw,102.0,102.5,101.5,102.5,18545562,102.166667,1
2024-02-01,2317.tw,102.5,103.0,102.0,103.0,14397907,102.666667,1
2024-02-02,2317.tw,102.5,103.0,101.5,102.0,16516773,102.166667,1
2024-02-05,2317.tw,101.5,102.0,101.0,101.5,17438135,101.5,1
2024-02-15,2317.tw,101.5,102.0,101.0,101.0,27953440,101.333333,1
2024-02-16,2317.tw,101.0,101.5,100.5,101.5,32615887,101.166667,1
2024-02-19,2317.tw,101.5,103.0,101.0,103.0,24938217,102.333333,1
2024-02-20,2317.tw,103.5,104.5,103.0,103.5,39410270,103.666667,1
2024-02-21,2317.tw,103.5,104.0,103.0,103.0,18479374,103.333333,1
2024-02-22,2317.tw,103.5,104.0,103.0,103.5,19601423,103.5,1
2024-02-23,2317.tw,103.5,104.0,103.0,103.0,17252304,103.333333,1
2024-02-26,2317.tw,103.0,104.0,103.0,103.5,19894677,103.5,1
2024-02-27,2317.tw,104.0,104.5,103.0,103.5,28688693,103.666667,1
2024-02-29,2317.tw,103.0,103.5,103.0,103.0,38390662,103.166667,1
2024-03-01,2317.tw,103.0,103.5,102.0,102.0,28121335,102.5,1
2024-03-04,2317.tw,102.5,107.0,102.5,106.5,106351735,105.333333,1
2024-03-05,2317.tw,107.0,108.5,106.5,106.5,75461014,107.166667,1
2024-03-06,2317.tw,106.0,107.5,105.5,106.5,40347458,106.5,1
2024-03-07,2317.tw,108.0,108.5,107.0,107.5,47505374,107.666667,1
2024-03-08,2317.tw,107.5,108.5,104.5,105.0,68582080,106.0,1
2024-03-11,2317.tw,105.0,111.5,105.0,109.5,139480002,108.666667,1
2024-03-12,2317.tw,111.5,119.0,111.5,119.0,347034486,116.5,1
2024-03-13,2317.tw,121.5,123.5,118.0,120.5,338406505,120.666667,1
2024-03-14,2317.tw,121.0,121.5,117.0,121.0,191622484,119.833333,1
2024-03-15,2317.tw,128.0,133.0,127.0,132.0,403022484,130.666667,1
2024-03-18,2317.tw,133.0,137.0,131.5,136.0,239249130,134.833333,1
2024-03-19,2317.tw,133.0,136.0,130.0,136.0,171242442,134.0,1
2024-03-20,2317.tw,136.5,142.0,135.5,138.0,204806549,138.5,1
2024-03-21,2317.tw,141.0,145.0,139.0,142.5,183957559,142.166667,1
2024-03-22,2317.tw,144.0,148.5,142.0,145.5,236266998,145.333333,1
2024-03-25,2317.tw,147.0,147.5,143.0,145.5,145490405,145.333333,1
2024-03-26,2317.tw,146.0,147.0,139.0,142.0,180436950,142.666667,1
2024-03-27,2317.tw,143.0,150.0,143.0,148.5,146369404,147.166667,1
2024-03-28,2317.tw,150.5,157.0,150.0,155.5,196277222,154.166667,1
2024-03-29,2317.tw,157.0,157.5,150.5,151.5,123239000,153.166667,1
2024-04-01,2317.tw,151.0,154.5,150.0,150.5,77891382,151.666667,1
2024-04-02,2317.tw,152.0,159.5,151.0,159.0,178365027,156.5,1
2024-04-03,2317.tw,156.0,159.0,155.0,159.0,141177640,157.666667,1
2024-04-08,2317.tw,159.0,160.0,156.5,158.0,108228836,158.166667,1
2024-04-09,2317.tw,158.5,161.5,155.5,158.0,101725664,158.333333,1
2024-04-10,2317.tw,159.0,160.0,154.0,154.5,97698334,156.166667,1
2024-04-11,2317.tw,153.0,153.5,147.0,150.0,171910054,150.166667,1
2024-04-12,2317.tw,151.0,153.5,148.5,150.5,117153973,150.833333,1
2024-04-15,2317.tw,148.5,150.0,144.5,146.0,111843413,146.833333,1
2024-04-16,2317.tw,142.5,143.0,137.5,141.0,175513013,140.5,1
2024-04-17,2317.tw,143.0,147.5,141.0,146.5,105075694,145.0,1
2024-04-18,2317.tw,144.5,148.5,144.5,148.0,74990020,147.0,1
2024-04-19,2317.tw,146.0,147.5,140.0,143.0,132498553,143.5,1
2024-04-22,2317.tw,141.5,145.5,141.5,143.0,71191312,143.333333,1
2024-04-23,2317.tw,145.5,146.5,143.5,144.0,67495791,144.666667,1
2024-04-24,2317.tw,147.5,157.0,146.5,156.0,191980597,153.166667,1
2024-04-25,2317.tw,153.0,154.5,151.0,151.5,108275889,152.333333,1
2024-04-26,2317.tw,156.5,158.0,154.0,155.0,99130006,155.666667,1
2024-04-29,2317.tw,157.0,161.0,156.0,158.5,98183957,158.5,1
2024-04-30,2317.tw,159.5,161.0,156.0,156.0,72258292,157.666667,1
2024-05-02,2317.tw,153.5,155.0,152.0,154.0,67014593,153.666667,1
2024-05-03,2317.tw,157.5,159.0,156.0,156.0,67145053,157.0,1
2024-05-06,2317.tw,161.5,168.5,161.0,167.5,177370587,165.666667,1
2024-05-07,2317.tw,169.5,171.0,166.5,169.5,124701709,169.0,1
2024-05-08,2317.tw,168.5,171.5,168.0,169.5,75120589,169.666667,1
2024-05-09,2317.tw,169.5,175.0,169.5,170.5,113944686,171.666667,1
2024-05-10,2317.tw,171.5,172.0,167.0,169.5,84399408,169.5,1
2024-05-13,2317.tw,171.0,173.0,169.0,169.5,77795848,170.5,1
2024-05-14,2317.tw,170.0,175.0,168.0,172.0,124475075,171.666667,1
2024-05-15,2317.tw,168.0,174.0,165.5,170.5,155589110,170.0,1
2024-05-16,2317.tw,175.0,179.0,170.5,171.5,149892909,173.666667,1
2024-05-17,2317.tw,173.0,173.0,167.0,170.0,87995690,170.0,1
2024-05-20,2317.tw,170.0,170.5,166.0,167.5,73840961,168.0,1
2024-05-21,2317.tw,166.0,168.5,165.5,166.0,46498585,166.666667,1
2024-05-22,2317.tw,166.0,170.5,166.0,169.0,55204400,168.5,1
2024-05-23,2317.tw,173.5,174.0,169.5,173.0,83577643,172.166667,1
2024-05-24,2317.tw,172.0,176.0,171.0,176.0,69225558,174.333333,1
2024-05-27,2317.tw,179.0,185.0,178.5,185.0,113997157,182.833333,1
2024-05-28,2317.tw,185.5,186.0,183.5,185.5,67804130,185.0,1
2024-05-29,2317.tw,185.5,186.0,180.5,180.5,75213627,182.333333,1
2024-05-30,2317.tw,177.0,179.5,176.0,176.5,78702491,177.333333,1
2024-05-31,2317.tw,177.0,179.0,172.0,172.0,147141860,174.333333,1
2024-06-03,2317.tw,177.0,179.5,174.5,176.5,89188697,176.833333,1
2024-06-04,2317.tw,175.0,176.5,170.0,171.0,101915226,172.5,1
2024-06-05,2317.tw,171.0,178.0,168.5,175.5,117365054,174.0,1
2024-06-06,2317.tw,181.5,183.0,177.5,177.5,121092025,179.333333,1
2024-06-07,2317.tw,177.5,180.0,176.5,177.5,55448022,178.0,1
2024-06-11,2317.tw,179.0,181.5,177.5,180.5,83420531,179.833333,1
2024-06-12,2317.tw,184.0,188.0,182.5,187.5,124760086,186.0,1
2024-06-13,2317.tw,191.0,195.0,188.0,192.0,146691778,191.666667,1
2024-06-14,2317.tw,192.5,198.5,191.0,198.0,123524930,195.833333,1
2024-06-17,2317.tw,197.5,200.0,195.0,200.0,90030798,198.333333,1
2024-06-18,2317.tw,200.5,201.0,197.0,198.5,90319019,198.833333,1
2024-06-19,2317.tw,200.0,208.0,199.5,203.0,173889577,203.5,1
2024-06-20,2317.tw,205.0,217.5,203.5,217.5,177537123,212.833333,1
2024-06-21,2317.tw,211.0,217.5,211.0,212.0,163458287,213.5,1
2024-06-24,2317.tw,209.5,210.0,205.0,206.0,104052744,207.0,1
2024-06-25,2317.tw,203.0,212.0,201.0,211.0,116945868,208.0,1
2024-06-26,2317.tw,211.5,215.5,210.0,210.0,107811774,211.833333,1
